Source,avgstr,normstr
A Chopra,63.074074074074076,27.739583333333336
AB Agarkar,133.53514155441135,47.556758562178196
AB Dinda,53.33333333333333,25.0
AD Mathews,117.31212764826209,42.994035901073715
AD Russell,158.90782852831046,54.69282677358732
AN Ghosh,50.0,24.0625
AS Rajpoot,57.14285714285714,26.07142857142857
Azhar Mahmood,87.5,34.609375
B Lee,132.96296296296293,47.39583333333333
BAW Mendis,50.0,24.0625
BB McCullum,101.31137098996861,38.49382309092867
BJ Haddin,163.63636363636365,56.02272727272728
BJ Hodge,87.69783613581889,34.66501641319907
C Munro,108.66013071895425,40.560661764705884
C de Grandhomme,91.77353104984684,35.81130560776943
CA Lynn,129.35469297369758,46.38100739885245
CA Pujara,117.7691798941799,43.122581845238095
CH Gayle,132.8845581929547,47.37378199176851
CK Langeveldt,0.0,10.0
CR Brathwaite,142.85714285714286,50.17857142857143
CR Woakes,103.5544217687075,39.12468112244898
CV Varun,90.90909090909092,35.56818181818182
DB Das,126.93402215974615,45.7001937324286
DJ Hussey,116.05291267987843,42.639881691215805
DM Bravo,120.0,43.75
EJG Morgan,121.00842898710955,44.03362065262456
G Gambhir,108.9203401351836,40.63384566302038
GB Hogg,150.0,52.1875
HF Gurney,20.0,15.625
I Sharma,98.44444444444443,37.6875
IR Jaggi,84.375,33.73046875
Iqbal Abdulla,82.95454545454544,33.33096590909091
J Botha,205.0,67.65625
JH Kallis,90.86687923786458,35.55630978564942
JL Denly,0.0,10.0
JO Holder,92.46031746031747,36.00446428571429
JPR Scantlebury-Searles,320.0,100.0
KC Cariappa,300.0,94.375
KD Karthik,124.0987443903471,44.90277185978512
KL Nagarkoti,82.77167277167275,33.279532967032964
Kuldeep Yadav,73.12531328320802,30.566494360902254
L Balaji,132.14285714285714,47.16517857142857
LH Ferguson,155.52884615384616,53.74248798076923
LR Shukla,118.96397824119978,43.45861888033744
M Kartik,101.77655677655677,38.62465659340659
M Morkel,119.44444444444444,43.59375
M Prasidh Krishna,21.666666666666664,16.09375
MC Henriques,75.0,31.09375
MG Johnson,150.0,52.1875
MK Pandey,115.08969391533677,42.368976413688465
MK Tiwary,105.86412808161265,39.77428602295356
MN van Wyk,115.31177606177607,42.43143701737452
MS Bisla,90.4816143425658,35.447954033846635
MV Boucher,187.5,62.734375
Mandeep Singh,28.57142857142857,18.035714285714285
Mashrafe Mortaza,100.0,38.125
Mohammad Hafeez,89.50320512820512,35.17277644230769
Mohammed Shami,50.0,24.0625
N Rana,115.93669495741537,42.60719545677307
NM Coulter-Nile,115.0,42.34375
NS Naik,40.19607843137254,21.30514705882353
OA Shah,108.94202898550725,40.639945652173914
P Dogra,75.0,31.09375
PJ Cummins,109.31180937865429,40.74394638774652
PJ Sangwan,200.0,66.25
PP Chawla,109.5135900424362,40.800697199435184
R Bhatia,134.05483405483406,47.702922077922075
R McLaren,49.99999999999999,24.0625
R Sathish,103.57142857142857,39.12946428571429
R Vinay Kumar,91.66666666666667,35.78125
RA Tripathi,118.2266986788478,43.25125900342594
RK Singh,101.66666666666667,38.59375
RN ten Doeschate,127.61227567950257,45.8909525348601
RS Gavaskar,25.0,17.03125
RT Ponting,48.54838709677419,23.65423387096774
RV Uthappa,124.631520132767,45.052615037340715
S Narwal,150.0,52.1875
SA Yadav,144.93988415286455,50.764342417993156
SB Bangar,55.55555555555556,25.625
SC Ganguly,95.23264057958434,36.784180163008095
SE Bond,50.0,24.0625
SMSM Senanayake,100.96153846153845,38.39543269230769
SP Goswami,89.88095238095238,35.279017857142854
SP Jackson,148.40958605664488,51.740196078431374
SP Narine,133.7167719681848,47.60784211605197
SS Shaikh,85.71428571428571,34.10714285714286
Salman Butt,114.50923696364427,42.20572289602495
Shakib Al Hasan,111.99228194835781,41.497829297975635
Shivam Mavi,65.69444444444444,28.4765625
Shoaib Akhtar,37.5,20.546875
Shubman Gill,122.38461276149873,44.42067233917152
T Banton,98.21428571428572,37.62276785714286
T Taibu,127.5925925925926,45.885416666666664
TA Boult,62.5,27.578125
TK Curran,66.47058823529412,28.694852941176467
UT Yadav,115.0,42.34375
Umar Gul,219.88636363636363,71.84303977272728
WP Saha,132.06320906288937,47.14277754893764
Y Prithvi Raj,0.0,10.0
YK Pathan,125.73701895030172,45.36353657977236
Yashpal Singh,78.19444444444444,31.9921875
