Source,avgrr,b1,normrr
A Zampa,8.192574370709382,A Zampa,83.23275733571188
AB Dinda,10.885185185185186,AB Dinda,57.97637658502691
Ankit Sharma,16.0,Ankit Sharma,10.0
BA Stokes,7.167953216374269,BA Stokes,92.84358629768793
DL Chahar,10.1,DL Chahar,65.34132360604482
DT Christian,7.320404265100621,DT Christian,91.41361293808691
Imran Tahir,7.771096491228071,Imran Tahir,87.18617152573982
JD Unadkat,7.062772692601068,JD Unadkat,93.83016755246523
LH Ferguson,6.934013377926422,LH Ferguson,95.03791516275372
R Bhatia,8.132478632478632,R Bhatia,83.79644847075801
RA Tripathi,12.0,RA Tripathi,47.519541427826994
RD Chahar,7.869047619047619,RD Chahar,86.26740117620784
SN Thakur,7.7886191440138814,SN Thakur,87.02181105145915
Washington Sundar,6.404999999999999,Washington Sundar,100.0
